plasmid_name	addgene_id	category	resistance	well	description
pYTK002	65109		Chloramphenicol	A / 2	
pYTK003	65110		Chloramphenicol	A / 3	
pYTK004	65111		Chloramphenicol	A / 4	
pYTK005	65112		Chloramphenicol	A / 5	
pYTK006	65113		Chloramphenicol	A / 6	
pYTK007	65114		Chloramphenicol	A / 7	
pYTK008	65115		Chloramphenicol	A / 8	
pYTK009	65116		Chloramphenicol	A / 9	
pYTK010	65117		Chloramphenicol	A / 10	
pYTK011	65118		Chloramphenicol	A / 11	
pYTK012	65119		Chloramphenicol	A / 12	
pYTK013	65120		Chloramphenicol	B / 1	
pYTK014	65121		Chloramphenicol	B / 2	
pYTK015	65122		Chloramphenicol	B / 3	
pYTK016	65123		Chloramphenicol	B / 4	
pYTK017	65124		Chloramphenicol	B / 5	
pYTK018	65125		Chloramphenicol	B / 6	
pYTK019	65126		Chloramphenicol	B / 7	
pYTK020	65127		Chloramphenicol	B / 8	
pYTK021	65128		Chloramphenicol	B / 9	
pYTK022	65129		Chloramphenicol	B / 10	
pYTK023	65130		Chloramphenicol	B / 11	
pYTK024	65131		Chloramphenicol	B / 12	
pYTK025	65132		Chloramphenicol	C / 1	
pYTK026	65133		Chloramphenicol	C / 2	
pYTK027	65134		Chloramphenicol	C / 3	
pYTK028	65135		Chloramphenicol	C / 4	
pYTK029	65136		Chloramphenicol	C / 5	
pYTK030	65137		Chloramphenicol	C / 6	
pYTK031	65138		Chloramphenicol	C / 7	
pYTK032	65139		Chloramphenicol	C / 8	
pYTK033	65140		Chloramphenicol	C / 9	
pYTK034	65141		Chloramphenicol	C / 10	
pYTK035	65142		Chloramphenicol	C / 11	
pYTK036	65143		Chloramphenicol	C / 12	
pYTK037	65144		Chloramphenicol	D / 1	
pYTK038	65145		Chloramphenicol	D / 2	
pYTK039	65146		Chloramphenicol	D / 3	
pYTK040	65147		Chloramphenicol	D / 4	
pYTK041	65148		Chloramphenicol	D / 5	
pYTK042	65149		Chloramphenicol	D / 6	
pYTK043	65150		Chloramphenicol	D / 7	
pYTK044	65151		Chloramphenicol	D / 8	
pYTK045	65152		Chloramphenicol	D / 9	
pYTK046	65153		Chloramphenicol	D / 10	
pYTK047	65154		Chloramphenicol	D / 11	
pYTK048	65155		Chloramphenicol	D / 12	
pYTK049	65156		Chloramphenicol	E / 1	
pYTK050	65157		Chloramphenicol	E / 2	
pYTK051	65158		Chloramphenicol	E / 3	
pYTK052	65159		Chloramphenicol	E / 4	
pYTK053	65160		Chloramphenicol	E / 5	
pYTK054	65161		Chloramphenicol	E / 6	
pYTK055	65162		Chloramphenicol	E / 7	
pYTK056	65163		Chloramphenicol	E / 8	
pYTK057	65164		Chloramphenicol	E / 9	
pYTK058	65165		Chloramphenicol	E / 10	
pYTK059	65166		Chloramphenicol	E / 11	
pYTK060	65167		Chloramphenicol	E / 12	
pYTK061	65168		Chloramphenicol	F / 1	
pYTK062	65169		Chloramphenicol	F / 2	
pYTK063	65170		Chloramphenicol	F / 3	
pYTK064	65171		Chloramphenicol	F / 4	
pYTK065	65172		Chloramphenicol	F / 5	
pYTK066	65173		Chloramphenicol	F / 6	
pYTK067	65174		Chloramphenicol	F / 7	
pYTK068	65175		Chloramphenicol	F / 8	
pYTK069	65176		Chloramphenicol	F / 9	
pYTK070	65177		Chloramphenicol	F / 10	
pYTK071	65178		Chloramphenicol	F / 11	
pYTK072	65179		Chloramphenicol	F / 12	
pYTK073	65180		Chloramphenicol	G / 1	
pYTK074	65181		Chloramphenicol	G / 2	
pYTK075	65182		Chloramphenicol	G / 3	
pYTK076	65183		Chloramphenicol	G / 4	
pYTK077	65184		Chloramphenicol	G / 5	
pYTK078	65185		Chloramphenicol	G / 6	
pYTK079	65186		Chloramphenicol	G / 7	
pYTK080	65187		Chloramphenicol	G / 8	
pYTK081	65188		Chloramphenicol	G / 9	
pYTK082	65189		Chloramphenicol	G / 10	
pYTK083	65190		Ampicillin	G / 11	
pYTK084	65191		Kanamycin	G / 12	
pYTK085	65192		Spectinomycin	H / 1	
pYTK086	65193		Chloramphenicol	H / 2	
pYTK087	65194		Chloramphenicol	H / 3	
pYTK088	65195		Chloramphenicol	H / 4	
pYTK089	65196		Ampicillin	H / 5	
pYTK090	65197		Kanamycin	H / 6	
pYTK091	65198		Spectinomycin	H / 7	
pYTK092	65199		Chloramphenicol	H / 8	
pYTK093	65200		Chloramphenicol	H / 9	
pYTK094	65201		Chloramphenicol	H / 10	
pYTK095	65202		Ampicillin	H / 11	
